t(s)	total_voltage(V)
10220	3.9311135
10230	3.9308653
10240	3.930617
10250	3.9303685
10260	3.9301199
10270	3.9298712
10280	3.9296223
10290	3.9293734
10300	3.9291243
10310	3.928875
10320	3.9286256
10330	3.9283761
10340	3.9281264
10350	3.9278766
10360	3.9276267
10370	3.9273765
10380	3.9271262
10390	3.9268758
10400	3.9266252
10410	3.9263744
10420	3.9261235
10430	3.9258723
10440	3.925621
10450	3.9253695
10460	3.9251179
10470	3.924866
10480	3.9246139
10490	3.9243617
10500	3.9241092
10510	3.9238565
10520	3.9236037
10530	3.9233506
10540	3.9230973
10550	3.9228437
10560	3.92259
10570	3.922336
10580	3.9220818
10590	3.9218273
10600	3.9215726
10610	3.9213176
10620	3.9210624
10630	3.9208069
10640	3.9205512
10650	3.9202952
10660	3.920039
10670	3.9197824
10680	3.9195256
10690	3.9192685
10700	3.9190111
10710	3.9187534
10720	3.9184954
10730	3.9182371
10740	3.9179785
10750	3.9177196
10760	3.9174603
10770	3.9172008
10780	3.9169409
10790	3.9166806
10800	3.9164201
10810	3.9161591
10820	3.9158979
10830	3.9156362
10840	3.9153742
10850	3.9151119
10860	3.9148491
10870	3.914586
10880	3.9143225
10890	3.9140586
10900	3.9137943
10910	3.9135296
10920	3.9132645
10930	3.912999
10940	3.9127331
10950	3.9124667
10960	3.9121999
10970	3.9119327
10980	3.911665
10990	3.9113969
11000	3.9111283
11010	3.9108593
11020	3.9105898
11030	3.9103198
11040	3.9100494
11050	3.9097784
11060	3.909507
11070	3.909235
11080	3.9089626
11090	3.9086897
11100	3.9084162
11110	3.9081422
11120	3.9078677
11130	3.9075927
11140	3.9073171
11150	3.907041
11160	3.9067644
11170	3.9064871
11180	3.9062094
11190	3.905931
11200	3.9056521
11210	3.9053726
11220	3.9050925
11230	3.9048119
11240	3.9045306
11250	3.9042488
11260	3.9039663
11270	3.9036832
11280	3.9033996
11290	3.9031153
11300	3.9028304
11310	3.9025448
11320	3.9022586
11330	3.9019718
11340	3.9016844
11350	3.9013963
11360	3.9011076
11370	3.9008182
11380	3.9005282
11390	3.9002375
11400	3.8999461
11410	3.8996541
11420	3.8993614
11430	3.8990681
11440	3.8987741
11450	3.8984794
11460	3.8981841
11470	3.897888
11480	3.8975913
11490	3.8972939
11500	3.8969959
11510	3.8966971
11520	3.8963977
11530	3.8960976
11540	3.8957968
11550	3.8954954
11560	3.8951932
11570	3.8948904
11580	3.8945869
11590	3.8942828
11600	3.8939779
11610	3.8936724
11620	3.8933663
11630	3.8930594
11640	3.8927519
11650	3.8924438
11660	3.892135
11670	3.8918255
11680	3.8915154
11690	3.8912047
11700	3.8908933
11710	3.8905813
11720	3.8902687
11730	3.8899554
11740	3.8896415
11750	3.8893271
11760	3.889012
11770	3.8886964
11780	3.8883801
11790	3.8880633
11800	3.8877459
11810	3.887428
