t(s)	total_current(A)
111100	-0.05
111190	-0.05
111280	-0.05
111370	-0.05
111460	-0.05
111550	-0.05
111640	-0.05
111730	-0.05
111820	-0.05
111910	-0.05
112000	-0.05
112090	-0.05
112180	-0.05
112270	-0.05
112360	-0.05
112450	-0.05
112540	-0.05
112630	-0.05
112720	-0.05
112810	-0.05
112900	-0.05
112990	-0.05
113080	-0.05
113170	-0.05
113260	-0.05
113350	-0.05
113440	-0.05
113530	-0.05
113620	-0.05
113710	-0.05
113800	-0.05
113890	-0.05
113980	-0.05
114070	-0.05
114160	-0.05
114250	-0.05
114340	-0.05
114430	-0.05
114520	-0.05
114610	-0.05
114700	-0.05
114790	-0.05
114880	-0.05
114970	-0.05
115060	-0.05
115150	-0.05
115240	-0.05
115330	-0.05
115420	-0.05
115510	-0.05
115600	-0.05
115690	-0.05
115780	-0.05
115870	-0.05
115960	-0.05
116050	-0.05
116140	-0.05
116230	-0.05
116320	-0.05
116410	-0.05
116500	-0.05
116590	-0.05
116680	-0.05
116770	-0.05
116860	-0.05
116950	-0.05
117040	-0.05
117130	-0.05
117220	-0.05
117310	-0.05
117400	-0.05
117490	-0.05
117580	-0.05
117670	-0.05
117760	-0.05
117850	-0.05
117940	-0.05
118030	-0.05
118120	-0.05
118210	-0.05
118300	-0.05
118390	-0.05
118480	-0.05
118570	-0.05
118660	-0.05
118750	-0.05
118840	-0.05
118930	-0.05
119020	-0.05
119110	-0.05
119200	-0.05
119290	-0.05
119380	-0.05
119470	-0.05
119560	-0.05
119650	-0.05
119740	-0.05
119830	-0.05
119920	-0.05
120010	-0.05
120100	-0.05
120190	-0.05
120280	-0.05
120370	-0.05
120460	-0.05
120550	-0.05
120640	-0.05
120730	-0.05
120820	-0.05
120910	-0.05
121000	-0.05
121090	-0.05
121180	-0.05
121270	-0.05
121360	-0.05
121450	-0.05
121540	-0.05
121630	-0.05
121720	-0.05
121810	-0.05
121900	-0.05
121990	-0.05
122080	-0.05
122170	-0.05
122260	-0.05
122350	-0.05
122440	-0.05
122530	-0.05
122620	-0.05
122710	-0.05
122800	-0.05
122890	-0.05
122980	-0.05
123070	-0.05
123160	-0.05
123250	-0.05
123340	-0.05
123430	-0.05
123520	-0.05
123610	-0.05
123700	-0.05
123790	-0.05
123880	-0.05
123970	-0.05
124060	-0.05
124150	-0.05
124240	-0.05
124330	-0.05
124420	-0.05
124510	-0.05
124600	-0.05
124690	-0.05
124780	-0.05
124870	-0.05
124960	-0.05
125050	-0.05
125140	-0.05
125230	-0.05
125320	-0.05
125410	-0.05
125500	-0.05
125590	-0.05
125680	-0.05
125770	-0.05
125860	-0.05
125950	-0.05
126040	-0.05
126130	-0.05
126220	-0.05
126310	-0.05
126400	-0.05
126490	-0.05
126580	-0.05
126670	-0.05
126760	-0.05
126850	-0.05
126940	-0.05
127030	-0.05
127120	-0.05
127210	-0.05
127300	-0.05
127390	-0.05
127480	-0.05
127570	-0.05
127660	-0.05
127750	-0.05
127840	-0.05
127930	-0.05
128020	-0.05
128110	-0.05
128200	-0.05
128290	-0.05
128380	-0.05
128470	-0.05
128560	-0.05
128650	-0.05
128740	-0.05
128830	-0.05
128920	-0.05
129010	-0.05
129100	-0.05
129190	-0.05
129280	-0.05
129370	-0.05
129460	-0.05
129550	-0.05
129640	-0.05
129730	-0.05
129820	-0.05
129910	-0.05
130000	-0.05
